Month,Temp,Precip,Height,Deer,Abductions
0,11.11,0.00,127.91,7,0
1,12.67,49.93,115.70,7,1
2,8.98,48.58,126.32,8,1
3,18.65,56.67,106.04,12,1
4,17.44,43.74,75.87,12,1
5,31.36,24.34,45.39,16,1
6,34.60,13.76,4.75,20,4
7,20.01,12.03,0.00,11,4
8,26.31,0.00,0.00,6,2
9,17.18,1.29,0.00,3,1
10,5.24,15.49,99.23,2,0
11,12.31,20.01,110.49,2,0
12,11.33,28.25,132.44,2,0
13,0.42,36.25,189.93,3,0
14,8.79,48.29,212.88,4,0
15,21.23,48.12,202.73,4,0
16,30.59,46.05,192.57,7,0
17,23.86,35.13,174.79,10,0
18,31.77,16.04,149.39,18,1
19,26.52,18.51,103.67,27,3
20,17.42,11.93,35.50,44,5
21,19.53,2.96,0.00,26,7
22,14.70,2.08,0.00,12,7
23,3.69,21.91,91.87,7,2
24,1.61,30.24,168.56,8,1
25,8.64,39.87,200.15,9,1
26,6.45,47.39,230.00,14,2
27,21.51,45.11,194.44,18,2
28,18.95,43.28,148.81,21,2
29,20.05,37.28,95.51,35,2
30,33.79,10.39,6.61,49,5
31,28.38,13.96,0.00,25,11
32,20.76,8.60,0.00,15,3
33,13.02,0.00,0.00,9,2
34,7.06,15.73,65.23,5,1
35,-2.64,12.53,71.81,8,1
36,-1.42,41.43,79.48,15,0
37,-0.57,50.16,63.16,16,2
38,10.87,55.87,30.40,22,3
39,19.76,46.52,0.00,12,4
40,23.93,46.79,0.00,8,1
41,27.57,38.99,0.00,5,1
42,18.55,24.52,0.00,2,1
43,29.63,15.96,0.00,1,0
44,25.15,13.15,0.00,1,-1
45,7.08,10.02,67.76,1,-1
46,10.19,4.12,86.79,2,-1
47,1.77,16.00,169.57,2,0
48,0.22,34.39,227.29,3,0
49,8.47,46.02,258.57,4,0
50,20.09,46.48,248.43,5,0
51,10.15,44.33,261.09,9,0
52,26.34,41.22,238.23,11,1
53,21.00,33.79,210.31,15,1
54,29.19,22.28,172.21,16,2
55,25.53,13.92,131.57,19,3
56,25.45,7.07,83.31,21,4
57,5.81,0.00,73.96,31,5
58,1.22,6.42,47.11,16,7
59,7.60,15.19,84.75,26,2
60,-0.35,41.16,59.78,23,5
61,2.50,40.27,81.12,18,5
62,17.09,51.53,35.64,28,2
63,23.00,56.48,0.00,16,5
64,18.47,47.53,0.00,10,2
65,33.04,39.64,0.00,5,2
66,27.56,12.63,0.00,3,0
67,23.29,8.50,0.00,2,0
68,14.95,0.00,0.00,1,0
69,6.66,5.41,55.75,1,-1
70,11.44,2.70,64.93,2,-1
71,-1.21,16.65,99.93,2,0
